column_name,ShortName
awardDetails.competitionInformation.nontraditionalGovernmentEntityParticipation.name,nontrad_gov_part_nm
awardDetails.awardeeData.consortia.memberFlag,awardee_consortia_member
awardDetails.contractMarketingData.feeRangeLowerValue,fee_range_low
awardDetails.contractMarketingData.feeRangeUpperValue,fee_range_high
awardDetails.nasaSpecificData.nasaStatutoryAuthority,nasa_statutory_auth
oldContractId.subtier.code,old_subtier_cd
oldContractId.subtier.name,old_subtier_nm
oldContractId.piid,old_piid
oldContractId.modificationNumber,old_mod_num
oldContractId.transactionNumber,told_ransaction_num
oldContractId.referencedIDVSubtier.code,old_ref_idv_subtier_cd
oldContractId.referencedIDVSubtier.name,old_ref_idv_subtier_nm
oldContractId.referencedIDVPiid,old_ref_idv_piid
oldContractId.referencedIDVModificationNumber,old_ref_idv_mod_num
awardDetails.contractMarketingData.fixedFeeValue,fixed_fee_val
awardDetails.awardeeData.awardeeRegistrationDetails.divisionName,awardee_division_nm
coreData.productOrServiceInformation.dodClaimantProgram.code,pos_comm_item_cd
coreData.productOrServiceInformation.dodClaimantProgram.name,pos_comm_item_nm
